name,player_id,pitch_type,pitch_result,atbat_result,start_speed,z0,x0,pfx_x,pfx_z,px,pz,break_angle,break_length,spin_rate,spin_dir,zone,balls,strikes,outs,play,game_date,inning,inning_topbot,tfs,tfs_zulu,catcher,umpire,umpire_name,stolen_base_attempt,stolen_base_success,batted_ball_type,,angle,batted_ball_velocity,direction,hc_x,hc_y,pitch_id,distance_feet
"John Lackey                   ",407793,FT,Foul,Single,"92.8      ",5.731,-2.381,"-9.242              ","4.705               ",-0.274,"2.814               ","32.1      ","6.2       ","2059.697  ","242.822   ","4 ",0,1,2,"Cameron Maybin singles on a soft line drive to right fielder Stephen Piscotty.   Nick Markakis scores.  ",2015-10-04,1,bot,172352,2015-10-04T17:23:52Z,488810,484198,"Al Porter",0,0,,,0.0,82.0,,173.6100,102.2400,61,233.0
"John Lackey                   ",407793,FT,Ball,Groundout,"91.2      ",5.785,-2.644,"-8.893              ","3.002               ",-1.394,"1.952               ","28.7      ","7.0       ","1864.480  ","251.112   ",13,0,0,0,"Michael Bourn grounds out softly to first baseman Brandon Moss.  ",2015-10-04,3,bot,174942,2015-10-04T17:49:42Z,488810,484198,"Al Porter",0,0,,,,,,149.2400,175.4800,155,
"John Lackey                   ",407793,FC,"Swinging Strike",Strikeout,"85.1      ",6.111,-1.999,"1.989               ","5.202               ",1.240,"1.159               ","-9.9      ","6.7       ","1024.279  ","159.247   ",14,0,2,1,"Pedro Ciriaco strikes out swinging.  ",2015-10-04,4,bot,180735,2015-10-04T18:07:35Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,235,
"John Lackey                   ",407793,FF,"Called Strike",Strikeout,"91.2      ",6.018,-2.139,"-4.565              ","8.402               ",-0.190,"1.919               ","20.2      ","4.5       ","1880.352  ","208.400   ","8 ",3,0,0,"Cameron Maybin strikes out on a foul tip.  ",2015-10-04,4,bot,180541,2015-10-04T18:05:41Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,226,
"John Lackey                   ",407793,FT,Foul,Strikeout,"92.0      ",5.814,-2.321,"-9.467              ","3.287               ",-0.713,"2.332               ","30.5      ","6.9       ","1989.943  ","250.638   ",13,3,1,0,"Cameron Maybin strikes out on a foul tip.  ",2015-10-04,4,bot,180549,2015-10-04T18:05:49Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,227,
"John Lackey                   ",407793,FT,"Called Strike",Groundout,"91.8      ",5.649,-2.349,"-9.970              ","4.365               ",0.554,"2.148               ","32.9      ","6.6       ","2165.150  ","246.161   ","6 ",1,0,0,"Daniel Castro grounds out softly, pitcher John Lackey to first baseman Brandon Moss.   Michael Bourn to 3rd.  ",2015-10-04,1,bot,171859,2015-10-04T17:18:59Z,488810,484198,"Al Porter",0,0,,,,,,116.2500,186.6700,34,
"John Lackey                   ",407793,FT,Ball,Groundout,"93.2      ",5.849,-2.277,"-8.845              ","4.245               ",1.208,"3.270               ","30.2      ","6.1       ","1982.458  ","244.157   ",12,0,0,0,"Daniel Castro grounds out softly, pitcher John Lackey to first baseman Brandon Moss.   Michael Bourn to 3rd.  ",2015-10-04,1,bot,171841,2015-10-04T17:18:41Z,488810,484198,"Al Porter",0,0,,,,,,116.2500,186.6700,33,
"John Lackey                   ",407793,FT,"Called Strike",Single,"92.9      ",5.800,-2.206,"-7.290              ","6.864               ",0.214,"2.396               ","29.4      ","5.2       ","1994.337  ","226.559   ","5 ",0,0,2,"Cameron Maybin singles on a soft line drive to right fielder Stephen Piscotty.   Nick Markakis scores.  ",2015-10-04,1,bot,172337,2015-10-04T17:23:37Z,488810,484198,"Al Porter",0,0,,,0.0,82.0,,173.6100,102.2400,60,233.0
"John Lackey                   ",407793,FF,Foul,Strikeout,"92.3      ",6.158,-2.138,"-2.526              ","7.466               ",0.083,"2.643               ","9.4       ","4.4       ","1571.375  ","198.601   ","5 ",0,1,2,"Nick Markakis called out on strikes.  ",2015-10-04,3,bot,175306,2015-10-04T17:53:06Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,171,
"John Lackey                   ",407793,FF,Ball,Strikeout,"93.3      ",5.912,-2.167,"-4.021              ","6.773               ",-0.825,"1.322               ","16.7      ","4.9       ","1574.206  ","210.549   ",13,0,2,2,"Nick Markakis called out on strikes.  ",2015-10-04,3,bot,175331,2015-10-04T17:53:31Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,172,
"John Lackey                   ",407793,FT,"Called Strike",Groundout,"92.2      ",5.774,-2.442,"-8.686              ","4.928               ",0.085,"2.548               ","30.5      ","6.1       ","1988.092  ","240.230   ","5 ",0,0,2,"Shelby Miller grounds out, shortstop Jhonny Peralta to first baseman Brandon Moss.  ",2015-10-04,2,bot,174054,2015-10-04T17:40:54Z,488810,484198,"Al Porter",0,0,,,0.0,85.0,,114.2200,154.6300,126,0.0
"John Lackey                   ",407793,FT,"In play, out(s)",Groundout,"92.2      ",5.686,-2.546,"-7.455              ","5.039               ",-0.610,"2.069               ","27.0      ","5.9       ","1790.182  ","235.732   ","7 ",1,1,2,"Shelby Miller grounds out, shortstop Jhonny Peralta to first baseman Brandon Moss.  ",2015-10-04,2,bot,174116,2015-10-04T17:41:16Z,488810,484198,"Al Porter",0,0,GB,,0.0,85.0,,114.2200,154.6300,128,0.0
"John Lackey                   ",407793,FC,"Called Strike",Single,"82.5      ",6.378,-2.064,"4.460               ","-1.916              ",0.512,"2.683               ","-11.8     ","9.8       ","863.895   ","67.289    ","6 ",0,0,0,"Andrelton Simmons singles on a ground ball to center fielder Jason Heyward.  ",2015-10-04,2,bot,173851,2015-10-04T17:38:51Z,488810,484198,"Al Porter",0,0,,,0.0,105.0,,110.1600,88.0000,114,252.0
"John Lackey                   ",407793,FT,"Called Strike",Strikeout,"92.4      ",5.690,-2.527,"-7.373              ","6.137               ",0.631,"2.326               ","27.9      ","5.4       ","1918.530  ","230.045   ","6 ",0,0,1,"Pedro Ciriaco strikes out swinging.  ",2015-10-04,4,bot,180659,2015-10-04T18:06:59Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,233,
"John Lackey                   ",407793,FC,"In play, no out",Double,"84.2      ",6.413,-2.071,"3.706               ","0.290               ",0.223,"2.631               ","-11.4     ","8.6       ","676.762   ","95.201    ","5 ",1,2,0,"Michael Bourn doubles (15) on a fly ball to right fielder Stephen Piscotty.  ",2015-10-04,1,bot,171801,2015-10-04T17:18:01Z,488810,484198,"Al Porter",0,0,FB,,,,,224.8800,101.2200,29,
"John Lackey                   ",407793,FT,"In play, out(s)",Groundout,"93.7      ",5.723,-2.252,"-10.080             ","3.779               ",-0.120,"2.526               ","33.6      ","6.6       ","2166.389  ","249.252   ","5 ",2,0,1,"Adonis Garcia grounds out, second baseman Kolten Wong to first baseman Brandon Moss.   Nick Markakis to 3rd.  ",2015-10-04,1,bot,172304,2015-10-04T17:23:04Z,488810,484198,"Al Porter",0,0,GB,,,,,145.6900,154.6300,55,
"John Lackey                   ",407793,FF,"Foul Tip",Strikeout,"93.4      ",6.098,-2.199,"-3.352              ","7.335               ",0.648,"2.801               ","13.2      ","4.3       ","1630.872  ","204.441   ","6 ",3,2,0,"Cameron Maybin strikes out on a foul tip.  ",2015-10-04,4,bot,180633,2015-10-04T18:06:33Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,229,
"John Lackey                   ",407793,FT,"In play, out(s)",Groundout,"93.2      ",5.537,-2.402,"-10.886             ","3.593               ",0.583,"2.270               ","33.8      ","6.9       ","2278.748  ","251.544   ","6 ",2,2,1,"Daniel Castro grounds out, second baseman Kolten Wong to first baseman Brandon Moss.  ",2015-10-04,3,bot,175210,2015-10-04T17:52:10Z,488810,484198,"Al Porter",0,0,GB,,,,,131.4800,161.2400,166,
"John Lackey                   ",407793,FF,"In play, run(s)",Single,"93.1      ",5.900,-2.232,"-1.548              ","6.330               ",0.402,"2.804               ","2.9       ","4.7       ","1297.175  ","193.657   ","6 ",0,1,1,"Nick Markakis singles on a soft line drive to left fielder Matt Holliday.   Michael Bourn scores.  ",2015-10-04,1,bot,172136,2015-10-04T17:21:36Z,488810,484198,"Al Porter",0,0,LD,,,,,70.0500,142.9300,44,
"John Lackey                   ",407793,FF,"Swinging Strike",Double,"90.6      ",6.106,-2.463,"-5.588              ","9.170               ",-0.693,"2.552               ","26.4      ","4.4       ","2090.651  ","211.242   ","4 ",0,0,0,"Michael Bourn doubles (15) on a fly ball to right fielder Stephen Piscotty.  ",2015-10-04,1,bot,171657,2015-10-04T17:16:57Z,488810,484198,"Al Porter",0,0,,,,,,224.8800,101.2200,25,
"John Lackey                   ",407793,FT,Ball,Double,"93.3      ",6.024,-2.377,"-6.128              ","7.444               ",-1.343,"1.732               ","27.0      ","4.9       ","1915.953  ","219.310   ",13,0,2,0,"Michael Bourn doubles (15) on a fly ball to right fielder Stephen Piscotty.  ",2015-10-04,1,bot,171723,2015-10-04T17:17:23Z,488810,484198,"Al Porter",0,0,,,,,,224.8800,101.2200,27,
"John Lackey                   ",407793,FC,Ball,Single,"85.1      ",6.120,-2.057,"2.319               ","0.345               ",0.890,"1.750               ","-8.4      ","8.5       ","429.676   ","99.598    ",14,0,2,2,"Cameron Maybin singles on a soft line drive to right fielder Stephen Piscotty.   Nick Markakis scores.  ",2015-10-04,1,bot,172413,2015-10-04T17:24:13Z,488810,484198,"Al Porter",0,0,,,0.0,82.0,,173.6100,102.2400,62,233.0
"John Lackey                   ",407793,FT,"Swinging Strike",Groundout,"92.0      ",5.823,-2.281,"-8.733              ","4.925               ",-0.667,"3.247               ","31.8      ","6.1       ","1995.345  ","240.380   ","1 ",2,1,1,"Daniel Castro grounds out, second baseman Kolten Wong to first baseman Brandon Moss.  ",2015-10-04,3,bot,175149,2015-10-04T17:51:49Z,488810,484198,"Al Porter",0,0,,,,,,131.4800,161.2400,165,
"John Lackey                   ",407793,CU,Foul,Groundout,"78.8      ",6.346,-2.133,"3.618               ","-4.686              ",0.861,"1.796               ","-8.5      ","11.9      ","986.091   ","37.994    ",14,1,1,0,"Michael Bourn grounds out softly to first baseman Brandon Moss.  ",2015-10-04,3,bot,175013,2015-10-04T17:50:13Z,488810,484198,"Al Porter",0,0,,,,,,149.2400,175.4800,157,
"John Lackey                   ",407793,FT,Ball,Groundout,"92.6      ",5.701,-2.250,"-8.451              ","5.884               ",1.487,"2.469               ","29.8      ","5.7       ","2042.121  ","234.969   ",12,0,1,2,"Shelby Miller grounds out, shortstop Jhonny Peralta to first baseman Brandon Moss.  ",2015-10-04,2,bot,174103,2015-10-04T17:41:03Z,488810,484198,"Al Porter",0,0,,,0.0,85.0,,114.2200,154.6300,127,0.0
"John Lackey                   ",407793,FF,Ball,Lineout,"93.2      ",6.007,-2.063,"-2.697              ","7.540               ",1.189,"2.307               ","9.7       ","4.1       ","1624.932  ","199.586   ",14,0,0,2,"Andrelton Simmons lines out to second baseman Kolten Wong.  ",2015-10-04,4,bot,180805,2015-10-04T18:08:05Z,488810,484198,"Al Porter",0,0,,,0.0,91.0,,143.1500,154.1200,239,0.0
"John Lackey                   ",407793,FT,Ball,Lineout,"93.4      ",5.707,-2.168,"-8.736              ","4.753               ",1.602,"1.220               ","26.7      ","6.3       ","1948.875  ","241.246   ",14,1,1,2,"Andrelton Simmons lines out to second baseman Kolten Wong.  ",2015-10-04,4,bot,180844,2015-10-04T18:08:44Z,488810,484198,"Al Porter",0,0,,,0.0,91.0,,143.1500,154.1200,241,0.0
"John Lackey                   ",407793,FF,"In play, out(s)",Lineout,"91.8      ",6.079,-2.447,"-2.104              ","7.126               ",-0.056,"2.769               ","7.2       ","4.4       ","1486.491  ","196.360   ","5 ",2,1,2,"Andrelton Simmons lines out to second baseman Kolten Wong.  ",2015-10-04,4,bot,180910,2015-10-04T18:09:10Z,488810,484198,"Al Porter",0,0,LD,,0.0,91.0,,143.1500,154.1200,242,0.0
"John Lackey                   ",407793,CU,"Swinging Strike",Lineout,"80.7      ",6.230,-1.965,"4.440               ","-2.712              ",1.139,"1.670               ","-11.2     ","10.8      ","889.375   ","59.086    ",14,1,0,2,"Andrelton Simmons lines out to second baseman Kolten Wong.  ",2015-10-04,4,bot,180819,2015-10-04T18:08:19Z,488810,484198,"Al Porter",0,0,,,0.0,91.0,,143.1500,154.1200,240,0.0
"John Lackey                   ",407793,FF,Foul,Groundout,"92.7      ",5.877,-2.346,"-5.026              ","7.612               ",-0.474,"1.071               ","21.0      ","4.8       ","1808.053  ","213.299   ",13,1,2,0,"Daniel Castro grounds out softly, pitcher John Lackey to first baseman Brandon Moss.   Michael Bourn to 3rd.  ",2015-10-04,1,bot,172003,2015-10-04T17:20:03Z,488810,484198,"Al Porter",0,0,,,,,,116.2500,186.6700,37,
"John Lackey                   ",407793,FC,"In play, run(s)",Single,"83.9      ",6.361,-1.883,"3.226               ","-3.007              ",0.873,"2.073               ","-9.1      ","10.1      ","781.020   ","47.474    ",14,1,2,2,"Cameron Maybin singles on a soft line drive to right fielder Stephen Piscotty.   Nick Markakis scores.  ",2015-10-04,1,bot,172432,2015-10-04T17:24:32Z,488810,484198,"Al Porter",0,0,LD,,0.0,82.0,,173.6100,102.2400,63,233.0
"John Lackey                   ",407793,FT,"In play, no out",Single,"92.1      ",5.726,-2.343,"-8.352              ","3.598               ",-0.141,"2.576               ","28.2      ","6.4       ","1827.078  ","246.462   ","5 ",1,1,0,"Andrelton Simmons singles on a ground ball to center fielder Jason Heyward.  ",2015-10-04,2,bot,173921,2015-10-04T17:39:21Z,488810,484198,"Al Porter",0,0,GB,,0.0,105.0,,110.1600,88.0000,116,252.0
"John Lackey                   ",407793,FT,Foul,Groundout,"93.0      ",5.746,-2.142,"-8.658              ","7.306               ",0.558,"2.535               ","36.2      ","5.2       ","2279.497  ","229.686   ","6 ",1,1,0,"Daniel Castro grounds out softly, pitcher John Lackey to first baseman Brandon Moss.   Michael Bourn to 3rd.  ",2015-10-04,1,bot,171910,2015-10-04T17:19:10Z,488810,484198,"Al Porter",0,0,,,,,,116.2500,186.6700,35,
"John Lackey                   ",407793,FC,Foul,Groundout,"82.6      ",6.225,-2.243,"3.317               ","1.759               ",0.632,"1.060               ","-10.8     ","8.5       ","671.023   ","118.606   ",14,1,2,0,"Daniel Castro grounds out softly, pitcher John Lackey to first baseman Brandon Moss.   Michael Bourn to 3rd.  ",2015-10-04,1,bot,171935,2015-10-04T17:19:35Z,488810,484198,"Al Porter",0,0,,,,,,116.2500,186.6700,36,
"John Lackey                   ",407793,FC,Ball,Groundout,"83.2      ",6.383,-2.156,"2.803               ","0.759               ",0.212,"3.737               ","-9.3      ","8.3       ","527.711   ","106.070   ",12,1,1,1,"Daniel Castro grounds out, second baseman Kolten Wong to first baseman Brandon Moss.  ",2015-10-04,3,bot,175137,2015-10-04T17:51:37Z,488810,484198,"Al Porter",0,0,,,,,,131.4800,161.2400,164,
"John Lackey                   ",407793,FF,Foul,Double,"91.3      ",6.174,-2.365,"-5.445              ","9.566               ",0.811,"3.334               ","25.0      ","4.0       ","2149.575  ","209.541   ",12,0,1,0,"Michael Bourn doubles (15) on a fly ball to right fielder Stephen Piscotty.  ",2015-10-04,1,bot,171706,2015-10-04T17:17:06Z,488810,484198,"Al Porter",0,0,,,,,,224.8800,101.2200,26,
"John Lackey                   ",407793,FC,"In play, out(s)",Groundout,"84.2      ",6.233,-2.256,"2.153               ","-0.284              ",0.160,"1.355               ","-7.1      ","8.8       ","395.071   ","83.743    ",14,1,2,0,"Michael Bourn grounds out softly to first baseman Brandon Moss.  ",2015-10-04,3,bot,175035,2015-10-04T17:50:35Z,488810,484198,"Al Porter",0,0,GB,,,,,149.2400,175.4800,158,
"John Lackey                   ",407793,FF,Foul,Groundout,"91.1      ",6.159,-2.365,"-3.840              ","8.993               ",-0.067,"2.766               ","18.2      ","4.0       ","1938.373  ","203.031   ","2 ",1,0,0,"Michael Bourn grounds out softly to first baseman Brandon Moss.  ",2015-10-04,3,bot,174950,2015-10-04T17:49:50Z,488810,484198,"Al Porter",0,0,,,,,,149.2400,175.4800,156,
"John Lackey                   ",407793,FF,"Called Strike",Single,"93.1      ",6.071,-2.368,"-2.850              ","7.148               ",-0.343,"2.194               ","11.1      ","4.5       ","1545.014  ","201.628   ","7 ",0,0,1,"Nick Markakis singles on a soft line drive to left fielder Matt Holliday.   Michael Bourn scores.  ",2015-10-04,1,bot,172115,2015-10-04T17:21:15Z,488810,484198,"Al Porter",0,0,,,,,,70.0500,142.9300,43,
"John Lackey                   ",407793,FF,Ball,Strikeout,"91.9      ",5.989,-2.158,"-3.551              ","7.730               ",0.879,"1.942               ","13.1      ","4.5       ","1683.551  ","204.558   ",14,0,0,0,"Cameron Maybin strikes out on a foul tip.  ",2015-10-04,4,bot,180459,2015-10-04T18:04:59Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,223,
"John Lackey                   ",407793,FT,Ball,Single,"92.8      ",5.753,-2.059,"-9.799              ","3.093               ",0.868,"2.718               ","30.8      ","6.8       ","2057.943  ","252.273   ",12,0,1,0,"Andrelton Simmons singles on a ground ball to center fielder Jason Heyward.  ",2015-10-04,2,bot,173904,2015-10-04T17:39:04Z,488810,484198,"Al Porter",0,0,,,0.0,105.0,,110.1600,88.0000,115,252.0
"John Lackey                   ",407793,CU,"In play, run(s)","Home Run","77.6      ",6.507,-2.192,"3.783               ","-5.065              ",0.084,"2.807               ","-8.1      ","11.9      ","1060.542  ","37.062    ","2 ",0,0,0,"Adonis Garcia homers (9) on a fly ball to left field.  ",2015-10-04,4,bot,180418,2015-10-04T18:04:18Z,488810,484198,"Al Porter",0,0,FB,,35.0,99.0,,20.8100,91.0500,218,363.0
"John Lackey                   ",407793,FT,Foul,Double,"92.8      ",5.998,-2.288,"-6.370              ","7.066               ",-0.829,"2.037               ","27.4      ","5.0       ","1902.012  ","221.872   ",13,1,2,0,"Michael Bourn doubles (15) on a fly ball to right fielder Stephen Piscotty.  ",2015-10-04,1,bot,171734,2015-10-04T17:17:34Z,488810,484198,"Al Porter",0,0,,,,,,224.8800,101.2200,28,
"John Lackey                   ",407793,FF,"Swinging Strike",Strikeout,"93.5      ",5.985,-2.102,"-4.276              ","7.208               ",0.040,"2.236               ","18.2      ","4.5       ","1690.432  ","210.541   ","5 ",0,2,2,"Pedro Ciriaco strikes out swinging.  ",2015-10-04,1,bot,172619,2015-10-04T17:26:19Z,488810,484198,"Al Porter",0,0,,,,,,0.0000,0.0000,71,
"John Lackey                   ",407793,FC,Ball,Single,"83.7      ",6.313,-1.616,"0.53                ","-1.62               ",0.873,"1.608               ","-2.9      ","9.4       ","298.171   ","18.736    ",14,0,0,2,"Domingo Santana singles on a line drive to left fielder Randal Grichuk.  ",2015-09-27,4,top,190800,2015-09-27T19:08:00Z,488810,521251,"Ben May",0,0,,,0.0,106.0,,87.2700,113.3300,187,248.0
"John Lackey                   ",407793,FC,"Ball In Dirt",Strikeout,"81.7      ",6.385,-1.62,"1.01                ","-1.76               ",1.391,"-0.346              ","-4.1      ","10.3      ","344.543   ","30.727    ",14,0,2,0,"Jean Segura strikes out swinging.  ",2015-09-27,6,top,194328,2015-09-27T19:43:28Z,488810,521251,"Ben May",0,0,,,,,,0.0000,0.0000,304,
"John Lackey                   ",407793,FF,Ball,"Intent Walk","90.7      ",6.352,-1.549,"-4.91               ","9.78                ",2.145,"3.34                ","21.3      ","3.9       ","2125.490  ","206.547   ",12,1,0,2,"John Lackey intentionally walks Khris Davis.  ",2015-09-27,6,top,194610,2015-09-27T19:46:10Z,488810,521251,"Ben May",0,0,,,,,,0.0000,0.0000,315,
"John Lackey                   ",407793,FT,"In play, out(s)",Groundout,"92.6      ",5.837,-1.949,"-10.69              ","2.79                ",-0.358,"2.464               ","33.6      ","7.2       ","2213.153  ","255.153   ","4 ",0,1,0,"Martin Maldonado grounds out, third baseman Matt Carpenter to first baseman Matt Adams.  ",2015-09-27,5,top,192352,2015-09-27T19:23:52Z,488810,521251,"Ben May",0,0,GB,,0.0,59.0,,103.6300,173.3200,243,0.0
"John Lackey                   ",407793,FF,Ball,Single,"89.9      ",6.124,-2.344,"-5.99               ","7.69                ",-1.095,"2.439               ","25.8      ","5.0       ","1901.375  ","217.771   ",11,0,0,0,"Logan Schafer singles on a sharp ground ball to right fielder Stephen Piscotty.  ",2015-09-27,6,top,194051,2015-09-27T19:40:51Z,488810,521251,"Ben May",0,0,,,0.0,99.0,,192.1100,120.6000,295,258.0
"John Lackey                   ",407793,FT,Ball,Flyout,"92.3      ",6.141,-2.152,"-5.82               ","6.73                ",-1.19,"1.363               ","24.2      ","5.2       ","1765.580  ","220.684   ",13,0,1,2,"Logan Schafer flies out to right fielder Stephen Piscotty.  ",2015-09-27,7,top,201628,2015-09-27T20:16:28Z,488810,521251,"Ben May",0,0,,,0.0,79.0,,176.9600,118.1700,410,274.0
"John Lackey                   ",407793,FF,"Called Strike",Groundout,"91.4      ",6.068,-2.433,"-5.2                ","7.65                ",-0.603,"1.788               ","21.6      ","4.9       ","1813.579  ","214.065   ","7 ",0,0,0,"Logan Schafer grounds out, second baseman Kolten Wong to first baseman Matt Adams.  ",2015-09-27,1,top,181648,2015-09-27T18:16:48Z,488810,521251,"Ben May",0,0,,,0.0,89.0,,135.1400,158.1700,3,0.0
