9,220,40,May 21,LAD,@,SFG,L0-4,GS-8,L(2-3),5,7.1,7,4,4,2,7,1,1,4.32,31,99,67,17,13,10,11,7,1,0,53,,,0,0,0,28,1,0,0,1,0,0,.62,-0.005,0.47,13.50,10.33,1b start tie,8b 1-3 1 out  d2
10,221,45,May 26,LAD,,ATL,W8-0,GS-7,W(3-3),4,7.0,4,0,0,0,10,0,0,3.86,25,101,69,15,21,7,8,4,1,0,79,,,0,0,0,25,1,0,0,0,0,0,.43,0.221,3.12,34.95,18.00,1t start tie,7t 3 out  a8
June,June,June,June,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
11,222,50,Jun 1,LAD,@,COL,W11-4,GS-7,W(4-3),5,7.0,5,2,2,1,7,1,0,3.73,27,93,60,13,13,11,8,4,2,0,65,,,0,0,0,26,0,0,0,0,0,0,.70,0.089,1.88,23.75,13.00,1b start tie,7b 3 out  a6
12,223,56,Jun 6,LAD,,STL,W2-0,GS-8,W(5-3),4,8.0,1,0,0,2,11,0,1,3.36,27,106,75,21,18,9,4,1,1,0,89,,,0,0,0,24,0,0,0,1,0,0,.98,0.489,3.57,42.20,20.00,1t start tie,8t 3 out  a2
13,224,61,Jun 12,LAD,@,SDP,W4-3,GS-7,,5,6.2,4,1,1,3,11,1,0,3.21,27,117,73,18,21,7,6,2,3,0,70,,,1,0,0,24,1,0,0,0,0,0,1.01,0.269,1.94,30.20,16.67,1b start tie,7b --- 2 out  a1
14,225,66,Jun 17,LAD,,TEX,L3-5,GS-6,L(5-4),4,6.0,5,4,3,1,10,1,0,3.29,23,107,69,17,20,5,7,1,1,0,57,,,1,2,1,22,1,0,0,0,0,0,.64,-0.209,-1.32,21.50,13.00,1t start tie,6t 3 out  d4
15,226,71,Jun 22,LAD,@,CHC,L2-4,GS-7,L(5-5),4,7.0,4,3,3,2,9,2,0,3.33,27,105,67,10,20,6,10,3,4,0,64,,,0,0,0,25,0,0,0,0,0,0,.78,-0.057,0.23,22.95,13.00,1b start tie,7b 3 out  d2
16,227,76,Jun 27,LAD,@,MIA,L2-3,GS-7,L(5-6),4,7.0,7,3,1,0,9,0,0,3.20,27,101,73,16,19,11,7,7,0,0,64,,,0,0,1,26,2,0,0,1,0,1,.89,-0.037,0.19,23.35,15.00,1b start a 1,7b 3 out  d1
July,July,July,July,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
17,228,81,Jul 3,LAD,,NYM,L1-2,GS-7,,5,7.0,5,1,1,2,7,0,0,3.08,28,102,68,16,16,11,8,4,2,0,68,,,0,0,0,26,1,0,0,0,0,0,1.12,0.289,2.12,21.75,13.00,1t start tie,7t 3 out tie
18,229,86,Jul 8,LAD,,PHI,W5-0,SHO,W(6-6),4,9.0,8,0,0,0,13,0,1,2.85,36,123,92,29,18,12,10,6,3,0,84,,,0,0,0,35,2,0,0,0,0,0,.61,0.229,4.02,45.05,23.00,1t start tie,9t 3 out  a5
19,230,92,Jul 18,LAD,@,WSN,W4-2,GS-8,W(7-6),9,8.0,3,0,0,0,14,0,0,2.68,27,101,73,12,30,10,3,3,0,0,90,,,0,0,0,27,0,0,0,0,0,0,.69,0.356,3.87,46.40,23.00,1b start tie,8b 3 out  a4
20,231,97,Jul 23,LAD,@,NYM,W3-0,SHO,W(8-6),4,9.0,3,0,0,0,11,0,0,2.51,29,104,79,24,14,12,6,2,0,0,92,,,0,1,1,29,0,0,0,0,0,0,1.39,0.637,3.98,47.65,21.00,1b start tie,9b 3 out  a3
August,August,August,August,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
21,232,104,Aug 1,LAD,,LAA,W3-1,GS-8,W(9-6),8,8.0,2,0,0,1,7,0,0,2.37,26,115,77,27,9,9,9,1,3,0,84,,,0,0,0,25,0,0,0,0,0,0,.91,0.417,3.57,33.60,16.00,1t start tie,8t 3 out  a3
22,233,109,Aug 7,LAD,@,PIT,L4-5,GS-6,,5,6.0,9,4,4,2,5,1,1,2.51,28,97,64,17,12,12,8,6,1,0,41,,,0,0,0,25,1,0,0,1,0,0,1.48,-0.278,-1.24,4.10,7.00,1b start tie,6b 3 out  d1
23,234,114,Aug 12,LAD,,WSN,W3-0,GS-8,W(10-6),4,8.0,3,0,0,0,8,0,0,2.39,27,101,71,19,17,12,7,4,0,0,84,,,0,0,0,27,1,0,0,0,0,0,1.22,0.556,3.57,34.40,17.00,1t start tie,8t 3 out  a1
24,235,119,Aug 18,LAD,@,OAK,L4-5,GS-7,,5,7.0,5,1,1,2,7,0,0,2.34,29,116,76,16,14,11,9,7,0,0,68,,,0,0,0,26,0,0,0,0,0,1,1.22,0.298,2.41,21.75,13.00,1b start tie,7b 3 out tie
25,236,123,Aug 23,LAD,@,HOU,L2-3,GS-8,,4,8.0,7,1,1,0,10,0,0,2.29,29,111,74,15,18,9,10,4,1,0,74,,,0,1,1,29,3,0,0,0,0,0,1.48,0.488,2.89,27.60,17.00,1b start a 1,8b 3 out  a1
26,237,127,Aug 28,LAD,,CHC,W4-1,GS-8,W(11-6),4,8.0,3,1,1,1,14,1,0,2.24,28,108,79,16,20,5,8,5,1,0,85,,,0,0,0,27,1,0,0,0,0,0,.74,0.281,2.57,44.40,22.00,1t start tie,8t 3 out  a3
September/October,September/October,September/October,September/October,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
27,238,132,Sep 2,LAD,,SFG,W2-1,CG,W(12-6),4,9.0,6,1,1,1,15,0,0,2.18,32,132,95,20,32,7,9,5,1,0,85,,,1,1,2,31,0,0,0,0,0,0,1.42,0.527,3.02,47.55,24.00,1t start tie,9t 3 out  a1
28,239,138,Sep 8,LAD,@,LAA,W6-4,GS-7,W(13-6),5,7.0,4,2,1,2,8,1,0,2.15,28,106,66,18,14,10,8,1,3,0,69,,,0,0,0,26,0,0,0,1,0,2,.86,0.202,1.20,28.95,15.00,1b start a 1,7b 3 out  a4
29,240,143,Sep 14,LAD,,COL,W4-1,GS-7,W(14-6),5,7.0,3,1,1,2,5,0,0,2.12,25,105,71,17,14,10,8,5,2,0,70,,,0,0,0,23,1,0,0,1,0,0,1.22,0.319,2.12,24.15,12.00,1t start tie,7t 3 out  a1
30,241,147,Sep 19,LAD,,PIT,L2-3,GS-8,L(14-7),4,7.0,7,3,3,2,8,0,0,2.18,28,100,70,13,16,10,8,5,1,0,57,,,0,1,2,26,2,0,0,0,0,0,1.11,-0.047,0.51,17.35,12.00,1t start tie,8t -2- 0 out tie
31,242,152,Sep 24,LAD,,ARI,W6-3,GS-5,W(15-7),4,5.0,6,3,3,1,9,1,0,2.25,22,80,57,11,15,1,11,7,0,0,51,,,0,0,0,21,0,0,0,0,0,0,.96,-0.135,-0.77,20.05,12.00,1t start tie,5t 3 out  d3
32,243,157,Sep 29,LAD,@,SFG,W8-0,SHO,W(16-7),4,9.0,1,0,0,1,13,0,0,2.16,29,104,73,16,17,4,11,5,1,0,97,,,0,0,0,28,0,0,0,0,0,0,.63,0.338,4.06,54.05,23.00,1b start a 1,9b 3 out  a8
33,244,162,Oct 4,LAD,,SDP,W6-3,GS-4,,4,3.2,2,0,0,0,7,0,0,2.13,13,60,43,6,11,3,3,1,1,0,64,,,0,0,0,13,0,0,0,0,0,0,.74,0.172,1.58,19.85,10.67,1t start tie,4t 1-- 2 out  a2
,,,,LAD,,,,,,,232.2,163,62,55,42,301,15,5,2.13,890,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
